respondent_id,cups_per_day,brewing_method,satisfaction_score
1,2,drip,7
2,3,espresso,9
3,1,instant,4
4,2,pour-over,8
5,4,espresso,8
6,1,drip,6
7,3,pour-over,9
8,2,french-press,7
9,1,instant,3
10,2,pour-over,8
11,3,drip,6
12,2,espresso,9
13,1,instant,5
14,4,pour-over,9
15,2,french-press,7
16,3,espresso,8
17,1,drip,5
18,2,pour-over,8
19,3,instant,4
20,2,french-press,7
21,1,drip,6
22,4,espresso,9
23,2,pour-over,8
24,3,french-press,7
25,1,instant,3
26,2,pour-over,9
27,3,drip,6
28,2,espresso,8
29,1,instant,4
30,4,pour-over,9
31,2,french-press,7
32,3,espresso,8
33,1,drip,5
34,2,pour-over,8
35,3,instant,4
36,2,french-press,7
37,4,espresso,9
38,1,drip,6
39,2,pour-over,8
40,3,french-press,7
41,1,instant,3
42,2,espresso,9
43,3,pour-over,8
44,2,drip,6
45,1,instant,4
46,4,pour-over,9
47,2,french-press,7
48,3,espresso,8
49,1,drip,5
50,2,pour-over,8
